type,line of code,function,label
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/analysis/bon_to_alpacaeval.py#L110,,convert evaluation
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/analysis/draw_model_histogram.py#L82,,draw model histogram
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/analysis/draw_mtbench_analysis.py#L46,,plot mtbench scores
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/analysis/draw_per_token_reward.py#L118,,plot token rewards
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/analysis/draw_subtoken_statistics.py#L67,,generate subtoken statistics
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/analysis/get_per_token_reward.py#L442,,compute per-token rewards
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/analysis/get_subtoken_statistics.py#L163,,compute subtoken statistics
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/analysis/plot_per_model_dist.py#L202,,download scores
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/analysis/plot_per_subset_dist.py#L179,,generate distribution plots
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/analysis/run_ensemble_offline.py#L49,,aggregate ensemble scores
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/rewardbench/rewardbench.py#L700,,unimplemented function
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/scripts/run_bon.py#L323,,unimplemented function
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/scripts/run_dpo.py#L330,,evaluate reward model
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/scripts/run_generative.py#L453,,run reward model
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/scripts/run_generative_v2.py#L544,,run reward model
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/scripts/run_rm.py#L400,,evaluate reward model
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/scripts/run_v2.py#L401,,unimplemented function
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/scripts/submit_eval_jobs_v2.py#L181,,generate beaker experiment
cli,https://github.com/allenai/reward-bench/blob/09eb3b5dd9d2157adc854c693a6a38105a8b3c87/scripts/submit_generative_jobs.py#L171,,generate beaker experiment
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/data/benchmark/process_bioasq.py#L60,,extract bioasq queries
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/data/benchmark/process_clapnq.py#L72,,process dataset
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/data/benchmark/process_fiqa.py#L31,,process dataset
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/data/benchmark/process_kiwi.py#L26,,extract queries
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/data/benchmark/process_lotte.py#L64,,process dataset
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/data/benchmark/process_novelqa.py#L47,,process dataset
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/ragchecker/cli.py#L92,,evaluate claim accuracy
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/rag_baselines/chunking.py#L28,,split text
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/rag_baselines/embedding.py#L300,,generate text embeddings
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/rag_baselines/format_bedrock_corpus.py#L23,,convert file format
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/rag_baselines/generation.py#L188,,unimplemented function
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/rag_baselines/indexing.py#L68,,build search index
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/rag_baselines/retrieval.py#L52,,retrieve query results
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/scripts/synthesize_benchmark.py#L19,,generate testset
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/common.py#L31,AmenRa__ranx/set_relevance_level,adjust relevance scores
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L93,AmenRa__ranx/add_score,update query scores
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L109,AmenRa__ranx/add,add query and documents
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L139,AmenRa__ranx/set_relevance_level,adjust relevance scores
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L147,AmenRa__ranx/get_doc_ids_and_scores,retrieve document scores
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L191,AmenRa__ranx/save,save qrels data
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L250,AmenRa__ranx/from_file,parse qrels file
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L312,AmenRa__ranx/from_parquet,convert file format
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L341,AmenRa__ranx/from_ir_datasets,convert qrels
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/report.py#L181,AmenRa__ranx/to_latex,generate latex table
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/report.py#L340,AmenRa__ranx/save,save qrels data
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L81,AmenRa__ranx/add_score,update query scores
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L97,AmenRa__ranx/add,add query and documents
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L131,AmenRa__ranx/get_doc_ids_and_scores,retrieve document scores
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L191,AmenRa__ranx/save,save qrels data
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L257,AmenRa__ranx/from_file,parse qrels file
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L328,AmenRa__ranx/from_parquet,convert file format
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L360,AmenRa__ranx/from_ranxhub,download and load run
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/metrics/get_non_rel_lists.py#L50,AmenRa__ranx/get_non_rel_lists,identify non-rel
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/metrics/get_unjudged_lists.py#L46,AmenRa__ranx/get_unjudged_lists,calculate unjudged list
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/ranxhub.py#L35,AmenRa__ranx/save,save qrels data
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/utils.py#L45,AmenRa__ranx/qrels_file_to_dict,load relevance data
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/utils.py#L55,AmenRa__ranx/run_file_to_dict,create runs dictionary
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/utils.py#L66,AmenRa__ranx/dataframe_to_dict,convert dataframe
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/datasets/data_loader.py#L44,beir-cellar__beir/load_custom,load data sets
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/datasets/data_loader.py#L93,beir-cellar__beir/load_corpus,load and return corpus
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/datasets/data_loader_hf.py#L91,beir-cellar__beir/load_corpus,load and return corpus
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/generation/models/auto_model.py#L67,beir-cellar__beir/start_multi_process_pool,start multi-process pool
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/evaluation.py#L26,beir-cellar__beir/retrieve,perform search
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/evaluation.py#L33,beir-cellar__beir/encode_and_retrieve,encode and retrieve results
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/evaluation.py#L124,beir-cellar__beir/evaluate_custom,evaluate metrics
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/models/sentence_bert.py#L56,beir-cellar__beir/get_similarity,get similarity
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/models/sentence_bert.py#L59,beir-cellar__beir/start_multi_process_pool,start multi-process pool
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/models/sentence_bert.py#L114,beir-cellar__beir/encode_corpus_parallel,encode corpus
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/search/dense/faiss_index.py#L81,beir-cellar__beir/to_gpu,enable gpu indexing
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/search/dense/faiss_search.py#L185,beir-cellar__beir/get_index_name,get index name
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/search/dense/faiss_search.py#L263,beir-cellar__beir/get_index_name,get index name
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/search/dense/faiss_search.py#L329,beir-cellar__beir/get_index_name,get index name
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/search/dense/faiss_search.py#L384,beir-cellar__beir/get_index_name,get index name
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/search/dense/faiss_search.py#L422,beir-cellar__beir/get_index_name,get index name
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/search/dense/faiss_search.py#L489,beir-cellar__beir/get_index_name,get index name
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/search/dense/faiss_search.py#L548,beir-cellar__beir/get_index_name,get index name
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/search/lexical/elastic_search.py#L156,beir-cellar__beir/lexical_search,perform lexical search
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/train.py#L30,beir-cellar__beir/load_train,generate training samples
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/train.py#L54,beir-cellar__beir/load_train_triplets,create training examples
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/train.py#L66,beir-cellar__beir/prepare_train,create training data
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/train.py#L78,beir-cellar__beir/prepare_train_triplets,create training data loader
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/train.py#L82,beir-cellar__beir/load_ir_evaluator,load evaluation data
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/train.py#L128,beir-cellar__beir/load_dummy_evaluator,load dummy evaluator
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/util.py#L90,beir-cellar__beir/download_and_unzip,download and unzip files
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/util.py#L134,beir-cellar__beir/save_runfile,save results
api,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/util.py#L147,beir-cellar__beir/load_runfile,load and parse results
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/beyond_eval.py#L49,bigcode-project__bigcode-evaluation-harness/readline,raise ioerror
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/beyond_eval.py#L55,bigcode-project__bigcode-evaluation-harness/readable,check read capability
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/beyond_eval.py#L300,bigcode-project__bigcode-evaluation-harness/run_samples,execute samples
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/diff_eval.py#L258,bigcode-project__bigcode-evaluation-harness/verify_diff,validate diff validity
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/execute.py#L128,bigcode-project__bigcode-evaluation-harness/readline,raise ioerror
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/execute.py#L134,bigcode-project__bigcode-evaluation-harness/readable,check read capability
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/generic_eval.py#L102,bigcode-project__bigcode-evaluation-harness/main_check_stubs,check and record test results
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/libeval.py#L13,bigcode-project__bigcode-evaluation-harness/run_without_exn,execute program output
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/pal_metric/python_executor.py#L124,bigcode-project__bigcode-evaluation-harness/readline,raise ioerror
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/pal_metric/python_executor.py#L130,bigcode-project__bigcode-evaluation-harness/readable,check read capability
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/finetuning/CodeClone/train.py#L47,bigcode-project__bigcode-evaluation-harness/on_epoch_end,trigger evaluation
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/finetuning/CodeComplex/train.py#L46,bigcode-project__bigcode-evaluation-harness/on_epoch_end,trigger evaluation
api,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/finetuning/CodeDefect/train.py#L47,bigcode-project__bigcode-evaluation-harness/on_epoch_end,trigger evaluation
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/main.py#L413,,evaluate model
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/humanevalpack_openai.py#L190,,generate code completions
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/codexglue_code_to_text_bleu.py#L227,,calculate bleu
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/eval_cpp.py#L40,,compile and run cpp
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/eval_cs.py#L75,,compile and run csharp
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/eval_dlang.py#L72,,compile and run dlang
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/eval_go.py#L44,,compile and run go
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/eval_java.py#L52,,compile and run java
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/eval_javascript.py#L51,,compile and run javascript
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/eval_r.py#L49,,compile and run rscript
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/eval_racket.py#L48,,compile and run racket
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/eval_ruby.py#L44,,compile and run ruby
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/bigcode_eval/tasks/custom_metrics/multiple_metrics/eval_rust.py#L55,,compile and run rust
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/finetuning/APPS/apps_dataset.py#L168,,generate dataset samples
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/finetuning/APPS/apps_train.py#L106,,train language model
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/finetuning/Code-to-text/train.py#L113,,train code-to-text model
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/finetuning/CodeClone/train.py#L134,,train codeclone model
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/finetuning/CodeComplex/train.py#L141,,train sequence classification
cli,https://github.com/bigcode-project/bigcode-evaluation-harness/blob/6116c6a9a5672c69bd624373cfbc8938b7acc249/finetuning/CodeDefect/train.py#L131,,train classification model
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/accounts/models.py#L75,Cloud-CV__EvalAI/create_user_profile,create user profile
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/accounts/permissions.py#L12,Cloud-CV__EvalAI/has_permission,check user permission
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/accounts/throttles.py#L17,Cloud-CV__EvalAI/get_cache_key,generate cache key
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/base/management/commands/seed.py#L8,Cloud-CV__EvalAI/add_arguments,add command-line argument
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/base/management/commands/seed.py#L17,Cloud-CV__EvalAI/handle,start database seeder
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/base/utils.py#L85,Cloud-CV__EvalAI/encode_data,encode data
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/base/utils.py#L95,Cloud-CV__EvalAI/decode_data,decode base64 data
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/admin_filters.py#L10,Cloud-CV__EvalAI/lookups,generate lookup options
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/challenge_config_utils.py#L1033,Cloud-CV__EvalAI/check_sponsor,validate sponsor
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/models.py#L17,Cloud-CV__EvalAI/save_challenge_slug,generate and assign slug
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/models.py#L245,Cloud-CV__EvalAI/get_image_url,retrieve logo url
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/models.py#L251,Cloud-CV__EvalAI/get_evaluation_script_path,return script path
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/models.py#L257,Cloud-CV__EvalAI/get_start_date,retrieve start date
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/models.py#L261,Cloud-CV__EvalAI/get_end_date,retrieve end date
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/models.py#L273,Cloud-CV__EvalAI/create_eks_cluster_or_ec2_for_challenge,create challenge infrastructure
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/models.py#L297,Cloud-CV__EvalAI/update_sqs_retention_period_for_challenge,update sqs retention period
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/models.py#L407,Cloud-CV__EvalAI/get_start_date,retrieve start date
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/models.py#L411,Cloud-CV__EvalAI/get_end_date,retrieve end date
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/permissions.py#L14,Cloud-CV__EvalAI/has_permission,check user permission
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/serializers.py#L28,Cloud-CV__EvalAI/get_domain_name,retrieve domain name
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/serializers.py#L195,Cloud-CV__EvalAI/get_leaderboard_schema,retrieve leaderboard schema
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/serializers.py#L198,Cloud-CV__EvalAI/get_dataset_split_name,retrieve dataset split name
api,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/challenges/serializers.py#L201,Cloud-CV__EvalAI/get_challenge_phase_name,retrieve challenge phase name
