harness name,from awesome ml,tooling keyword,github repo,documentation,package distribution (non-git-clone),user interface,major release,evaluation target,primary evaluation task,high-coverage evaluation phases,medium-coverage evaluation phases,low-coverage evaluation phases,execution modality,reference type,evaluator type,creation date,major language,stars,forks,commits,contributors
GAOKAO-Bench,yes,evaluation framework,https://github.com/OpenLMLab/GAOKAO-Bench,,,"api,cli",1,LLM,question answering,"SCORE,ANALYZE","EXECUTE,SHIP","CONFIGURE,PREPARE,GOVERN",static analysis,"explicit label,comparative baseline,behavioral specification","algorithmic,model-based",2023-04-16 03:36:14+00:00,Python,680.0,51.0,109.0,3.0
Giskard,yes,"evaluation framework,test framework",https://github.com/Giskard-AI/giskard-oss,,pypi package,"gui,api",1,ML model,AI safety,"SCORE,ANALYZE,SHIP","CONFIGURE,EXECUTE","PREPARE,GOVERN","static analysis,dynamic execution","explicit label,behavioral specification","algorithmic,model-based,environmental",2022-03-06 21:45:37+00:00,Python,4883.0,360.0,10389.0,52.0
HELM,yes,evaluation framework,https://github.com/stanford-crfm/helm,,pypi package,"api,cli",1,LLM,language modeling,"EXECUTE,SCORE,SHIP","CONFIGURE,PREPARE,ANALYZE",GOVERN,static analysis,"explicit label,comparative baseline,behavioral specification,implicit standard","algorithmic,model-based,human",2021-11-29 08:53:17+00:00,Python,2481.0,336.0,5975.0,121.0
HumanEval,yes,evaluation harness,https://github.com/openai/human-eval,,,"api,cli",1,code model,code generation,"SCORE,SHIP","PREPARE,EXECUTE,ANALYZE","CONFIGURE,GOVERN",dynamic execution,behavioral specification,environmental,2021-07-06 21:23:45+00:00,Python,2938.0,407.0,7.0,4.0
Inspect,yes,evaluation framework,https://github.com/UKGovernmentBEIS/inspect_ai,,pypi package,"api,cli",1,LLM,AI safety,"EXECUTE,SCORE,SHIP","CONFIGURE,PREPARE,ANALYZE",GOVERN,static analysis,"comparative baseline,explicit label,behavioral specification","algorithmic,model-based,human",2023-11-14 14:53:11+00:00,Python,1331.0,299.0,3509.0,134.0
IntellAgent,,diagnosis framework,https://github.com/plurai-ai/intellagent,,,"gui,api,cli",1,agent,chatbot,"EXECUTE,SCORE,SHIP","CONFIGURE,PREPARE,ANALYZE",GOVERN,interactive simulation,"behavioral specification,implicit standard,explicit label","model-based,algorithmic,environmental",2024-10-28 20:53:08+00:00,Python,1133.0,136.0,291.0,3.0
JiWER,yes,evaluation package,https://github.com/jitsi/jiwer,,pypi package,api,1,STT model,speech recognition,SCORE,"EXECUTE,ANALYZE","CONFIGURE,PREPARE,SHIP,GOVERN",static analysis,explicit label,algorithmic,2018-06-19 00:38:38+00:00,Python,791.0,105.0,107.0,9.0
Language Model Evaluation Harness,yes,"evaluation framework,evaluation harness,test framework",https://github.com/EleutherAI/lm-evaluation-harness,,,"api,cli",1,LLM,language modeling,"EXECUTE,SCORE,SHIP","PREPARE,ANALYZE,GOVERN",CONFIGURE,static analysis,"implicit standard,explicit label,comparative baseline","algorithmic,model-based",2020-08-28 00:09:15+00:00,Python,10162.0,2741.0,3848.0,331.0
LightEval,yes,evaluation toolkit,https://github.com/huggingface/lighteval,,pypi package,"api,cli",1,LLM,language modeling,"EXECUTE,SCORE,SHIP","CONFIGURE,PREPARE,ANALYZE",GOVERN,static analysis,"explicit label,behavioral specification","algorithmic,model-based",2024-01-26 13:15:39+00:00,Python,1944.0,344.0,486.0,93.0
LLMPerf,yes,"benchmark library,evaluation tool",https://github.com/ray-project/llmperf,,,"api,cli",1,LLM,computational performance,"EXECUTE,SCORE","CONFIGURE,SHIP","PREPARE,ANALYZE,GOVERN",dynamic execution,none,algorithmic,2023-10-10 16:49:58+00:00,Python,1008.0,188.0,35.0,12.0
lmms-eval,yes,evaluation suite,https://github.com/EvolvingLMMs-Lab/lmms-eval,,pypi package,"api,cli",1,LMM,multimodal understanding,"EXECUTE,SCORE,SHIP","CONFIGURE,PREPARE,ANALYZE",GOVERN,dynamic execution,"behavioral specification,none","algorithmic,environmental",2024-03-07 12:09:25+00:00,Python,3098.0,376.0,1461.0,123.0
Melting Pot,,test suite,https://github.com/google-deepmind/meltingpot,,pypi package,"api,cli",1,DRL model,multiagent social interaction,"EXECUTE,SCORE","CONFIGURE,PREPARE,ANALYZE,GOVERN",SHIP,"dynamic execution,interactive simulation","behavioral specification,comparative baseline","algorithmic,environmental",2021-07-16 09:12:01+00:00,Python,735.0,142.0,598.0,14.0
Meta-World,yes,benchmark environment,https://github.com/Farama-Foundation/Metaworld,,github package,api,1,DRL model,robotic manipulation,"EXECUTE,SCORE","CONFIGURE,PREPARE,SHIP","ANALYZE,GOVERN","dynamic execution,interactive simulation","behavioral specification,implicit standard","algorithmic,environmental",2019-09-09 19:00:02+00:00,Python,1575.0,307.0,957.0,34.0
mir_eval,yes,"evaluation library,evaluation function",https://github.com/mir-evaluation/mir_eval,,pypi package,api,1,music model,information retrieval,"SCORE,ANALYZE","PREPARE,SHIP","CONFIGURE,EXECUTE,GOVERN",static analysis,explicit label,algorithmic,2013-08-06 17:04:10+00:00,Python,668.0,116.0,925.0,22.0
MLPerf Inference,yes,benchmark suite,https://github.com/mlcommons/inference,,pypi package,"api,cli",1,ML model,computational performance,"EXECUTE,SCORE","PREPARE,SHIP,GOVERN","CONFIGURE,ANALYZE",dynamic execution,"explicit label,behavioral specification,comparative baseline","algorithmic,environmental,human",2018-09-13 01:53:57+00:00,Python,1463.0,576.0,1823.0,113.0
OGB,yes,evaluator,https://github.com/snap-stanford/ogb,,pypi package,api,1,GNN,graph prediction,"PREPARE,SCORE","CONFIGURE,EXECUTE,ANALYZE","SHIP,GOVERN",static analysis,explicit label,algorithmic,2019-11-22 22:13:57+00:00,Python,2033.0,407.0,679.0,25.0
Ollama Grid Search,yes,evaluation platform,https://github.com/dezoito/ollama-grid-search,,binary package,gui,1,LLM,configuration optimization,"EXECUTE,SHIP","CONFIGURE,PREPARE","SCORE,ANALYZE,GOVERN",static analysis,"comparative baseline,implicit standard,none","algorithmic,human",2023-12-26 16:35:23+00:00,TypeScript,834.0,50.0,563.0,5.0
OpenCompass,yes,evaluation platform,https://github.com/open-compass/opencompass,,pypi package,"api,cli",2,LLM,language modeling,"CONFIGURE,EXECUTE,SCORE,ANALYZE","PREPARE,SHIP",GOVERN,"static analysis,dynamic execution","explicit label,behavioral specification,implicit standard","algorithmic,model-based,human",2023-06-15 12:42:58+00:00,Python,6072.0,668.0,1016.0,156.0
Overcooked-AI,yes,benchmark environment,https://github.com/HumanCompatibleAI/overcooked_ai,,pypi package,api,1,DRL model,human-AI coordination,SCORE,"PREPARE,EXECUTE,ANALYZE","CONFIGURE,SHIP,GOVERN",interactive simulation,"behavioral specification,implicit standard","algorithmic,environmental",2019-06-23 23:58:41+00:00,Python,856.0,190.0,690.0,20.0
Prometheus-Eval,yes,evaluation repository,https://github.com/prometheus-eval/prometheus-eval,,pypi package,"api,cli",1,LLM,LLM-as-a-Judge,"SCORE,ANALYZE","CONFIGURE,EXECUTE,SHIP","PREPARE,GOVERN",static analysis,"explicit label,behavioral specification,comparative baseline",model-based,2024-04-18 17:19:09+00:00,Python,988.0,64.0,211.0,10.0
PromptBench,yes,"evaluation framework,evaluation library",https://github.com/microsoft/promptbench,,pypi package,"api,cli",1,LLM,prompt robustness,"EXECUTE,SCORE,SHIP","CONFIGURE,PREPARE,ANALYZE",GOVERN,"static analysis,interactive simulation","explicit label,comparative baseline","algorithmic,model-based",2023-06-13 14:32:34+00:00,Python,2711.0,215.0,259.0,14.0
PyKEEN,,"evaluation package,evaluation library",https://github.com/pykeen/pykeen,,"pypi package,github package","api,cli",1,KG embedding model,knowledge graph prediction,"EXECUTE,SCORE,ANALYZE","CONFIGURE,PREPARE,SHIP",GOVERN,static analysis,"explicit label,behavioral specification",algorithmic,2020-02-24 07:26:03+00:00,Python,1881.0,205.0,2936.0,42.0
Quantus,,evaluation toolkit,https://github.com/understandable-machine-intelligence-lab/Quantus,,pypi package,api,1,CV model,AI explainability,"SCORE,ANALYZE","CONFIGURE,PREPARE,EXECUTE","SHIP,GOVERN","dynamic execution,static analysis","explicit label,behavioral specification","algorithmic,environmental",2021-03-18 15:04:58+00:00,Python,624.0,78.0,1835.0,17.0
Ragas,yes,evaluation toolkit,https://github.com/explodinggradients/ragas,,"pypi package,github package","api,cli",1,"LLM,RAG system",question answering,"SCORE,ANALYZE","CONFIGURE,EXECUTE,SHIP","PREPARE,GOVERN",static analysis,"explicit label,behavioral specification,comparative baseline,implicit standard","model-based,algorithmic",2023-05-08 17:48:04+00:00,Python,10805.0,1092.0,965.0,215.0
RAGChecker,yes,evaluation framework,https://github.com/amazon-science/RAGChecker,,pypi package,api,1,RAG system,question answering,"SCORE,ANALYZE","CONFIGURE,PREPARE,EXECUTE,SHIP",GOVERN,static analysis,"explicit label,implicit standard,comparative baseline","model-based,algorithmic,human",2024-06-24 13:53:07+00:00,Python,989.0,83.0,63.0,6.0
ranx,yes,"evaluation library,comparison library",https://github.com/AmenRa/ranx,,pypi package,api,1,recommendation system,information retrieval,"SCORE,ANALYZE","PREPARE,EXECUTE,SHIP","CONFIGURE,GOVERN",static analysis,explicit label,algorithmic,2020-06-02 19:42:22+00:00,Python,591.0,30.0,291.0,8.0
RewardBench,yes,evaluation tool,https://github.com/allenai/reward-bench,,pypi package,"api,cli",1,reward model,preference ranking,"SCORE,ANALYZE,SHIP","CONFIGURE,EXECUTE","PREPARE,GOVERN",static analysis,"explicit label,comparative baseline,behavioral specification","model-based,algorithmic",2023-12-23 16:20:07+00:00,Python,635.0,89.0,233.0,27.0
RLBench,yes,benchmark environment,https://github.com/stepjam/RLBench,,github package,"api,gui,cli",1,robotics model,robotic manipulation,"EXECUTE,SCORE","CONFIGURE,PREPARE,ANALYZE","SHIP,GOVERN",interactive simulation,"behavioral specification,comparative baseline","environmental,algorithmic",2019-09-26 21:05:51+00:00,Python,1532.0,291.0,191.0,16.0
SimplerEnv,yes,evaluation environment,https://github.com/simpler-env/SimplerEnv,,,"api,cli",1,robotics model,robotic manipulation,"EXECUTE,SCORE","PREPARE,ANALYZE,SHIP","CONFIGURE,GOVERN",interactive simulation,"behavioral specification,comparative baseline,implicit standard","environmental,algorithmic",2024-03-23 18:52:04+00:00,Python,765.0,132.0,158.0,9.0
Speech-to-Text Benchmark,yes,benchmark framework,https://github.com/Picovoice/speech-to-text-benchmark,,,"api,cli",1,STT model,speech recognition,"EXECUTE,SCORE,SHIP","CONFIGURE,PREPARE,ANALYZE",GOVERN,"static analysis,dynamic execution",explicit label,"algorithmic,environmental",2018-08-04 02:52:01+00:00,Python,666.0,69.0,22.0,3.0
TensorFlow Model Analysis,yes,evaluation library,https://github.com/tensorflow/model-analysis,,"pypi package,custom package,github package",api,1,DL model,model prediction,"SCORE,ANALYZE,SHIP","PREPARE,EXECUTE","CONFIGURE,GOVERN","static analysis,interactive simulation","explicit label,comparative baseline",algorithmic,2018-03-23 19:08:49+00:00,Python,1269.0,284.0,1570.0,55.0
TorchBench,yes,evaluation suite,https://github.com/pytorch/benchmark,,github package,"api,cli",1,ML model,computational performance,"EXECUTE,SCORE","CONFIGURE,PREPARE,SHIP","ANALYZE,GOVERN","dynamic execution,static analysis,interactive simulation","comparative baseline,behavioral specification,implicit standard","algorithmic,model-based,environmental",2017-05-26 19:21:12+00:00,Python,987.0,320.0,2324.0,201.0
TruLens,yes,evaluation tool,https://github.com/truera/trulens,,pypi package,"api,cli",1,"LLM,agent",AI trustworthiness,"SCORE,ANALYZE,SHIP","CONFIGURE,EXECUTE,GOVERN",PREPARE,static analysis,"explicit label,implicit standard,comparative baseline,behavioral specification","model-based,algorithmic,human",2020-11-02 21:56:45+00:00,Python,2791.0,221.0,1605.0,60.0
TrustLLM,yes,evaluation toolkit,https://github.com/HowieHwong/TrustLLM,,,api,1,LLM,AI trustworthiness,"SCORE,ANALYZE","CONFIGURE,PREPARE,EXECUTE,SHIP",GOVERN,static analysis,"explicit label,behavioral specification,implicit standard","algorithmic,model-based,environmental",2023-12-23 18:32:57+00:00,Python,594.0,62.0,306.0,13.0
VBench,yes,benchmark suite,https://github.com/Vchitect/VBench,,pypi package,"api,cli",1,video model,video generation,"SCORE,ANALYZE,SHIP","PREPARE,EXECUTE,GOVERN",CONFIGURE,static analysis,"implicit standard,behavioral specification","algorithmic,model-based",2023-11-27 12:41:46+00:00,Python,1217.0,72.0,1059.0,17.0
VLMEvalKit,yes,evaluation toolkit,https://github.com/open-compass/VLMEvalKit,,,"api,cli",1,LMM,multimodal understanding,"EXECUTE,SCORE,SHIP","PREPARE,ANALYZE","CONFIGURE,GOVERN",static analysis,"explicit label,implicit standard,behavioral specification","algorithmic,model-based,environmental",2023-12-01 08:18:11+00:00,Python,3071.0,504.0,1560.0,200.0
