feature,ARES,AutoRAG,COMET,CipherChat,DomainBed,EvalAI,GAOKAO-Bench,Metaworld,Quantus,RAGChecker,RLBench,SimplerEnv,TrustLLM,VBench,VLMEvalKit,alpaca_eval,ann-benchmarks,beir,benchmark,bigcode-evaluation-harness,deepeval,evalplus,evals,evalscope,evaluate,evidently,giskard-oss,helm,human-eval,inference,inspect_ai,intellagent,jiwer,lighteval,llmperf,lm-evaluation-harness,lmms-eval,meltingpot,mir_eval,model-analysis,ogb,ollama-grid-search,opencompass,overcooked_ai,prometheus-eval,promptbench,pykeen,ragas,ranx,reward-bench,speech-to-text-benchmark,trulens
S4F4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,1,2,1,1,2,1,0,3,1,0,0,1,0,1,3,0,1,1,0,0,1,0,0,2,1,0,0,1,1,2
S4F5,2,2,1,0,2,1,1,1,2,1,0,2,1,2,3,2,2,2,1,1,2,3,3,2,2,3,3,3,1,3,3,1,1,2,1,3,2,1,2,3,1,1,3,0,2,1,2,2,2,2,1,3
S5F1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,2,0,2,2,1,0,0,2,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,1,0,0,1,1,1
S5F2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,2,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
S5F3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
S5F4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,2,1,3,1,2,0,1,3,2,0,0,1,2,0,1,0,2,0,2,0,1,0,0,1,0,0,0,0,2
S6F1,1,2,1,1,2,2,1,0,0,1,0,1,1,1,2,2,1,1,2,1,3,1,2,2,1,3,1,2,0,3,3,1,0,2,1,2,1,1,0,2,1,2,2,0,1,1,1,2,2,1,1,3
S6F2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,1,1,1,0,2,0,2,0,2,3,0,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,2
S6F3,1,1,1,1,2,2,1,0,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,2,1,3,2,3,1,2,2,1,1,2,1,1,1,1,0,2,0,1,1,0,1,1,1,1,2,1,2,1
S6F4,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,1,3,0,2,1,0,3,2,2,0,3,2,0,0,3,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,2
S7F1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1
S7F2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
S7F3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
S8F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8F2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S8F3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
S8F4,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0
S1_sum,8,10,6,5,3,5,5,2,3,5,2,2,5,4,11,10,6,4,6,7,12,9,10,10,2,9,10,11,3,7,12,10,2,11,5,12,10,2,2,6,5,3,12,3,7,9,7,7,3,7,5,13
S2_sum,9,9,4,4,2,0,2,0,1,2,4,2,2,5,5,1,2,5,3,3,5,3,4,7,2,2,7,9,2,5,5,9,1,3,2,7,3,4,1,2,3,1,6,3,5,6,7,2,1,2,1,2
S3_sum,5,9,8,4,2,6,5,1,2,6,1,1,6,5,10,8,11,4,8,6,9,7,7,8,0,0,4,15,2,11,13,6,0,6,4,13,10,3,0,9,1,5,13,4,3,2,11,8,1,5,4,10
S4_sum,7,9,5,2,3,5,5,1,3,6,0,4,6,13,13,7,4,5,2,4,10,8,11,11,8,11,13,11,3,11,12,4,3,9,2,11,11,2,7,10,1,1,11,0,7,7,5,8,6,8,4,13
S5_sum,1,3,2,0,2,1,1,0,0,3,0,2,0,2,1,3,2,0,2,0,4,1,3,5,1,6,6,4,1,2,7,4,1,0,1,4,2,1,0,6,0,2,2,1,0,0,2,0,2,1,1,4
S6_sum,2,5,3,2,5,6,2,0,1,2,0,2,1,4,4,7,2,2,5,3,10,3,6,6,2,11,5,9,1,10,10,2,1,8,2,5,3,3,0,6,1,5,5,0,3,2,3,4,6,3,4,8
S7_sum,2,2,1,0,0,0,0,0,0,3,0,0,1,2,2,0,1,1,0,0,2,2,3,2,1,2,3,3,0,1,2,0,0,1,0,2,0,0,0,3,0,0,2,0,2,0,1,1,1,1,0,1
S8_sum,1,1,0,0,0,2,1,0,0,1,0,1,0,0,1,0,1,0,1,0,3,0,1,2,0,6,2,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,2
total_sum,35,48,29,17,17,25,21,4,10,28,7,14,21,35,47,36,29,21,27,23,55,33,45,51,16,47,50,62,12,48,61,36,8,38,16,56,40,15,10,43,11,17,52,11,28,27,37,31,21,27,19,53
