Topic,Count,Name,Representation,Representative_Docs
20,116,20_request_wavecoderultra67b_deepseekcoderv2litechat_nxcodecq7borpo,"['request', 'wavecoderultra67b', 'deepseekcoderv2litechat', 'nxcodecq7borpo', 'artigenzcoderds67b', 'inversecoder', 'reflectioncoder', 'autocoder', 'wizardcoder', 'starcoder']","['💡 [REQUEST] - <tyson0420/stack_llama_fil_ai>', '🤗 [REQUEST] - uukuguy/speechless-sparsetral-16x7b-MoE', '💡 [REQUEST] - TokenBender/starcoder2_15B_OCI']"
21,115,21_gpt4_gpt3_gpt2_gpt,"['gpt4', 'gpt3', 'gpt2', 'gpt', 'gptj', 'gptq', 'for', 'gpt4singlejsonl', 'access', 'generate']","['GPT4 rate limit', 'How to rate limit for gpt4 ?', ""ChatGPT API with model gpt-4 is not using GPT4. It's completely different from CHATGPT PLUS GPT4 ""]"
22,107,22_huggingface_hugging_face_hub,"['huggingface', 'hugging', 'face', 'hub', 'module', 'exist', 'either', 'doesnt', 'couldnt', 'huggingfaceclient']","[""Module 'accuracy' doesn't exist on the Hugging Face Hub either."", ""Module 'exact_match' doesn't exist on the Hugging Face Hub either."", ""FileNotFoundError: Couldn't find a module script at exact_match.py. Module 'exact_match' doesn't exist on the Hugging Face Hub either.""]"
23,106,23_bug_needlebench_debug_alignbench,"['bug', 'needlebench', 'debug', 'alignbench', 'sanitizer', 'tuple', 'humaneval', 'cmmlu', 'ceval', 'line']","['运行报错，似乎和openssl有关[Bug] ', '[Bug] 偶现解码失败 ', '[Bug] 根据用户手册安装环境出现pytorch版本过高问题']"
24,99,24_ragas_rag_runner_raised,"['ragas', 'rag', 'runner', 'raised', 'async', 'jobs', 'executor', 'thread', 'you', 'exeception']","['is_async missing in context_relevancy in ragas 0.1.8', ' The runner thread which was running the jobs raised an exeception. Read the traceback above to debug it. You can also pass `raise_exceptions=False` incase you want to show only a warning message instead ( For Ragas Version 0.1.10)', 'RAGAS metric issue']"
25,82,25_prompt_prompts_template_system,"['prompt', 'prompts', 'template', 'system', 'custom', 'formatting', 'what', 'the', 'used', 'of']","['[Feature] how to add system prompt to _meta_template?', 'How to evaluate using custom prompt template?', 'Docs for prompt and prompt adaptation ']"
26,81,26_multilingual_languages_language_rouge,"['multilingual', 'languages', 'language', 'rouge', 'datasets', 'other', 'rougescore', 'crosslingual', 'translated', 'add']","['does rouge_score = evaluate.load(""rouge"") support other languages?', 'Add support for other languages for rouge', 'Does Rouge score support the multilingual language?']"
27,80,27_llm_llms_vertex_support,"['llm', 'llms', 'vertex', 'support', 'tensorrtllm', 'judge', 'llmjudge', 'ai', 'own', 'add']","['How to set temperature when use llm as judge?', 'Support for LLMs running on Vertex AI', 'Support for using custom LLM']"
28,76,28_benchmark_benchmarks_new_benchmarking,"['benchmark', 'benchmarks', 'new', 'benchmarking', 'video', 'run', 'slpwc', 'optimumbenchmark', 'customized', 'add']","['[NEW BENCHMARK] b3_apriltag_detection', '[NEW BENCHMARK] c1_rrbot_joint_trajectory_controller', '[NEW BENCHMARK] imu_transformer']"
29,71,29_task_tasks_table_taskmetadata,"['task', 'tasks', 'table', 'taskmetadata', 'document', 'includetaskfolder', 'clientexception', 'list', 'pending', 'metadata']","['kobest_copa,kobest_hellaswag tasks', 'Task metadata', 'About registering task as squadv2 /task.py']"
30,66,30_helm_helmsummarize_helmrun_helmserver,"['helm', 'helmsummarize', 'helmrun', 'helmserver', 'on', 'src', 'helmfrontend', 'vhelm', 'heim', 'of']","['run_specs.json should be generated by helm-summarize instead of helm-run', ""HELM Lite results didn't display correctly with helm-server"", 'How can I use HELM to evaluate local model?']"
31,66,31_json_file_format_serializable,"['json', 'file', 'format', 'serializable', 'heim', 'trajectories', 'jsonl', 'files', 'invalid', 'jsondecoderjsondecodeerror']","['Evaluation results not available in json files', 'Invalid response/JSON format for Evaluation', 'iso_639_3_to_language.json not found']"
32,64,32_mmlu_score_mmteb_scores,"['mmlu', 'score', 'mmteb', 'scores', 'calculated', 'compute', 'average', 'are', 'mmlupro', 'reproduce']","['How can I run mmlu with local model?', 'mmlu evaluation fail', 'MMLU output_type from multiple_choice to generate_until']"
33,63,33_mteb_integration_integrate_litellm,"['mteb', 'integration', 'integrate', 'litellm', 'german', 'scriptsmtebmetapy', 'errormtebevaluationmteberror', 'mamba', 'integrations', 'with']","['Integrate InstructIR with MTEB', 'Adding German to MTEB', ""ERROR:mteb.evaluation.MTEB:Error while evaluating FEVER: 'dev'""]"
34,58,34_score_scoring_scores_calculate,"['score', 'scoring', 'scores', 'calculate', 'average', 'rating', 'avg', 'assessment', 'auc', 'ndcg']","['How to calculate total score？', 'Add functionality to calculate average score', 'How to calculate the avg score?']"
35,57,35_vllm_vllmworker_worker_sglang,"['vllm', 'vllmworker', 'worker', 'sglang', 'tqdm', 'aya101', 'asyncllmengine', 'killing', 'semaphore', 'tokens']","['Vllm model is broken', 'Support vLLM', 'Support for vLLM']"
36,56,36_docker_dockercompose_build_image,"['docker', 'dockercompose', 'build', 'image', 'installation', 'images', 'dockerfile', 'compose', 'instructions', 'container']","['Cannot Build PyTorch Docker Image', 'Error while building and run the Docker Container (docker-compose up --build)', 'Update MultiPL-E docker image']"
37,55,37_log_logging_logs_logsamples,"['log', 'logging', 'logs', 'logsamples', 'logprobs', 'loglikelihood', 'loglikelihoodrolling', 'viewer', 'args', 'tmplogfile']","['Move logging-related args under logging args', 'Add sidecar container logs and fix environment container logging', 'why not have log in conversion history？  hope add log info']"
38,54,38_tests_ci_testing_unit,"['tests', 'ci', 'testing', 'unit', 'test', 'add', 'for', 'app', 'urls', 'integration']","['[CI] CI for integration tests', 'Add unit tests and CI', '[TEST] add tests  + CI']"
39,54,39_model_models_local_how,"['model', 'models', 'local', 'how', 'train', 'way', 'hfautomodel', 'splitting', 'interfaces', 'to']","['How to add a new Model', 'How can i evaluate the local model', 'Add Inflection-1 model?']"
40,54,40_slow_inference_time_speed,"['slow', 'inference', 'time', 'speed', 'takes', 'long', 'extremely', 'loading', 'so', 'take']","['[BUG] Loading metrics is extremely slow', 'The function attach_ground_truth() is slow', 'Why inference so slow with get_model_answer.py?']"
41,50,41_context_contextrelevancy_recall_relevancy,"['context', 'contextrelevancy', 'recall', 'relevancy', 'contextrecall', 'incontext', 'returns', 'why', 'type', 'multicontext']","['Issue in Context Recall Metrics', 'Is context recall and context precision returns categorical output?', 'Bug: context relevancy']"
